title                 ,price       ,stars     ,offers       ,url
LG OLED evo C3 C37LA  ,"€ 888,00"  ,4.8       ,85 Angebote  ,lg-oled-c37la-v126789.html
LG OLED evo C3 C31LA  ,"€ 859,00"  ,4.6       ,68 Angebote  ,lg-oled-c31la-v138668.html
Samsung CU7179 GU     ,"€ 379,00"  ,4.5       ,125 Angebote ,samsung-gu-cu7179u-v126378.html
LG OLED evo G3 G39LA  ,"€ 1369,00" ,4.9       ,54 Angebote  ,lg-oled-g39la-v127135.html
Hisense U7KQ          ,"€ 598,08"  ,4.8       ,98 Angebote  ,hisense-u7kq-v133024.html
LG OLED evo G4 G48LW  ,"€ 2281,00" ,No rating ,71 Angebote  ,lg-oled-g48lw-v158480.html
Hisense U8NQ          ,"€ 1699,00" ,No rating ,11 Angebote  ,hisense-u8nq-v161264.html
Samsung QN85C GQ      ,"€ 869,00"  ,4.4       ,71 Angebote  ,samsung-gq-qn85cat-v126364.html
LG OLED evo G4 G49LS  ,"€ 2299,00" ,No rating ,21 Angebote  ,lg-oled-g49ls-v158277.html
LG OLED55C31LA        ,"€ 969,00"  ,4.3       ,13 Angebote  ,lg-oled55c31la-a3008316.html
Philips OLED708       ,"€ 889,00"  ,3.7       ,51 Angebote  ,philips-oled708-v132476.html
LG OLED42C37LA        ,"€ 888,00"  ,5.0       ,18 Angebote  ,lg-oled42c37la-a2904722.html
Philips PUS8808       ,"€ 569,00"  ,4.0       ,71 Angebote  ,philips-pus8808-v131042.html
Samsung GU55CU7179    ,"€ 518,80"  ,4.3       ,20 Angebote  ,samsung-gu55cu7179u-a2915270.html
LG OLED65G39LA        ,"€ 1889,00" ,5.0       ,16 Angebote  ,lg-oled65g3-a2871772.html
Philips PUS7608       ,"€ 319,00"  ,3.8       ,85 Angebote  ,philips-pus7608-v129297.html
LG OLED55G39LA        ,"€ 1369,00" ,4.7       ,19 Angebote  ,lg-oled55g3-a2871771.html
Samsung S90C GQ       ,"€ 1199,00" ,4.6       ,65 Angebote  ,samsung-gq-s90cat-v127196.html
Sony X85L             ,"€ 779,00"  ,4.6       ,38 Angebote  ,sony-x85l-v125526.html
Hisense U6KQ          ,"€ 449,00"  ,4.5       ,37 Angebote  ,hisense-u6kq-v133029.html
LG OLED B3 B39LA      ,"€ 962,00"  ,4.4       ,31 Angebote  ,lg-oled-b39la-v126903.html
Samsung CU8589 GU     ,"€ 499,99"  ,No rating ,34 Angebote  ,samsung-cu8589u-v127762.html
LG OLED65C31LA        ,"€ 1390,00" ,4.4       ,16 Angebote  ,lg-oled65c31la-a3008319.html
Samsung S95C GQ       ,"€ 1449,00" ,4.5       ,64 Angebote  ,samsung-gq-s95c-v135924.html
LG OLED77G48LW        ,"€ 4240,00" ,No rating ,17 Angebote  ,lg-oled77g48lw-a3166330.html
Philips 55OLED708     ,"€ 929,00"  ,4.3       ,29 Angebote  ,philips-55oled708-a2963030.html
Philips OLED808       ,"€ 979,00"  ,4.2       ,47 Angebote  ,philips-oled808-v131045.html
Hisense 75U8NQ        ,"€ 1699,00" ,No rating ,9 Angebote   ,hisense-75u8nq-a3187417.html
Panasonic MZ700E      ,"€ 1039,48" ,No rating ,5 Angebote   ,panasonic-mz700e-v138974.html
LG OLED65C37LA        ,"€ 1489,00" ,4.8       ,14 Angebote  ,lg-oled65c37la-a2904725.html
LG OLED83C31LA        ,"€ 2629,00" ,4.4       ,5 Angebote   ,lg-oled83c31la-a3008321.html
Samsung GQ55QN85C     ,"€ 869,00"  ,4.5       ,27 Angebote  ,samsung-gq55qn85cat-a2915059.html
Samsung S95C GQ       ,"€ 1449,00" ,4.5       ,64 Angebote  ,samsung-gq-s95c-v135924.html
Sony X90L             ,"€ 949,00"  ,3.7       ,38 Angebote  ,sony-x90l-v125480.html
Hisense 55U7KQ        ,"€ 598,08"  ,4.2       ,25 Angebote  ,hisense-55u7kq-a2967257.html
Samsung GU43CU7179    ,"€ 379,00"  ,4.4       ,21 Angebote  ,samsung-gu43cu7179u-a2915289.html
Philips OLED808       ,"€ 979,00"  ,4.2       ,47 Angebote  ,philips-oled808-v131045.html
Hisense A6K           ,"€ 267,35"  ,4.4       ,183 Angebote ,hisense-a6k-v129634.html
Panasonic MZW2004     ,"€ 2444,00" ,5.0       ,18 Angebote  ,panasonic-mzw2004-v138849.html
Hisense E7KQ          ,"€ 299,00"  ,No rating ,22 Angebote  ,hisense-e7kq-v131837.html
Panasonic MZ800E      ,"€ 836,00"  ,No rating ,56 Angebote  ,panasonic-mz800e-v140541.html
Philips 50PUS7608     ,"€ 359,00"  ,5.0       ,19 Angebote  ,philips-50pus7608-a2937702.html
LG OLED55C37LA        ,"€ 1099,00" ,4.4       ,14 Angebote  ,lg-oled55c37la-a2904724.html
Samsung GU50CU7179    ,"€ 399,00"  ,4.4       ,27 Angebote  ,samsung-gu50cu7179u-a2915286.html
Samsung QN92C GQ      ,"€ 787,00"  ,No rating ,62 Angebote  ,samsung-gq-qn92cat-v127453.html
TCL T8A               ,"€ 730,00"  ,No rating ,5 Angebote   ,tcl-t8a-v155111.html
LG QNED81 QNED816RE   ,"€ 599,00"  ,3.3       ,27 Angebote  ,lg-qned816re-v128771.html
Philips 43PUS8808     ,"€ 569,00"  ,4.4       ,13 Angebote  ,philips-43pus8808-a2950382.html
Sony X95L             ,"€ 1999,00" ,3.9       ,17 Angebote  ,sony-x95l-v125486.html
